		200	300	600	1000	1500	2000
39	23	0.00E+000	7.28E-014	5.31E-013	1.43E-012	2.47E-012	3.20E-012
39	22	0.00E+000	3.73E-014	3.23E-013	9.19E-013	1.62E-012	2.14E-012
39	21	0.00E+000	2.44E-014	2.49E-013	7.94E-013	1.50E-012	1.99E-012
39	20	0.00E+000	1.34E-014	1.44E-013	4.65E-013	8.64E-013	1.16E-012
39	19	0.00E+000	1.25E-014	1.20E-013	4.06E-013	7.90E-013	1.01E-012
38	37	1.65E-011	4.43E-011	6.67E-011	8.51E-011	9.98E-011	1.10E-010
38	36	2.31E-011	5.47E-011	8.57E-011	1.13E-010	1.35E-010	1.50E-010
38	35	8.26E-012	2.63E-011	4.33E-011	5.76E-011	6.86E-011	7.54E-011
38	34	5.70E-012	1.35E-011	2.29E-011	3.32E-011	4.30E-011	5.02E-011
38	33	3.62E-012	1.33E-011	2.46E-011	3.53E-011	4.40E-011	4.95E-011
38	32	1.51E-012	5.61E-012	1.04E-011	1.55E-011	2.07E-011	2.47E-011
38	31	1.07E-012	5.59E-012	1.17E-011	1.89E-011	2.52E-011	2.95E-011
38	30	5.45E-013	2.95E-012	6.59E-012	1.02E-011	1.35E-011	1.59E-011
38	29	2.90E-013	2.27E-012	5.82E-012	9.84E-012	1.38E-011	1.68E-011
38	28	1.52E-013	1.35E-012	3.96E-012	6.81E-012	9.31E-012	1.10E-011
38	27	7.72E-014	9.28E-013	3.00E-012	5.57E-012	8.15E-012	1.01E-011
38	26	3.86E-014	5.78E-013	2.27E-012	4.49E-012	6.53E-012	7.81E-012
38	25	1.81E-014	3.73E-013	1.58E-012	3.29E-012	4.98E-012	6.21E-012
38	24	7.16E-015	2.25E-013	1.17E-012	2.67E-012	4.18E-012	5.16E-012
38	23	0.00E+000	1.29E-013	7.42E-013	1.77E-012	2.84E-012	3.64E-012
38	22	0.00E+000	7.39E-014	5.34E-013	1.43E-012	2.47E-012	3.19E-012
38	21	0.00E+000	3.79E-014	3.25E-013	9.20E-013	1.61E-012	2.13E-012
38	20	0.00E+000	2.47E-014	2.50E-013	7.94E-013	1.49E-012	1.98E-012
38	19	0.00E+000	1.35E-014	1.44E-013	4.64E-013	8.59E-013	1.15E-012
38	18	0.00E+000	1.26E-014	1.20E-013	4.05E-013	7.85E-013	9.98E-013
37	36	1.72E-011	4.54E-011	6.77E-011	8.60E-011	1.00E-010	1.10E-010
37	35	2.39E-011	5.60E-011	8.69E-011	1.14E-010	1.36E-010	1.51E-010
37	34	8.58E-012	2.69E-011	4.40E-011	5.82E-011	6.91E-011	7.57E-011
37	33	5.91E-012	1.38E-011	2.32E-011	3.35E-011	4.33E-011	5.04E-011
37	32	3.75E-012	1.36E-011	2.49E-011	3.56E-011	4.42E-011	4.97E-011
37	31	1.57E-012	5.73E-012	1.06E-011	1.56E-011	2.08E-011	2.48E-011
